,BHK,Bathrooms,Balconies,Price,Developer,Project,Carpet Area,Locality,City,EMI
68,2,2,1,Call for Price,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Sierra,1295,Tellapur,Hyderabad,32k
69,3,2,2,₹1.69 Cr,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Sierra,2350,Tellapur,Hyderabad,59k
70,2,2,2,₹93.2 Lac,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Sierra,1295,Tellapur,Hyderabad,32k
71,2,2,2,₹93.2 Lac,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Sierra,1295,Tellapur,Hyderabad,32k
72,2,2,1,Call for Price,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Sierra,1295,Tellapur,Hyderabad,32k
73,3,3,1,Call for Price,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Sierra,1850,Tellapur,Hyderabad,41k
74,3,3,2,₹1.69 Cr,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Sierra,2350,Tellapur,Hyderabad,59k
75,3,2,2,Call for Price,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Sierra,2555,Tellapur,Hyderabad,64k
76,2,2,1,₹93.2 Lac,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Sierra,1295,Tellapur,Hyderabad,32k
77,3,2,2,₹1.20 Cr,Urbanrise,Urbanrise On Cloud 33,1353,Bachupally,Hyderabad,42k
78,2,2,,₹95.0 Lac,Urbanrise,Urbanrise On Cloud 33,1110,Bachupally,Hyderabad,33k
79,3,2,1,₹1.18 Cr,Urbanrise,Urbanrise On Cloud 33,940,Bachupally,Hyderabad,41k
80,3,3,1,₹1.40 Cr,Urbanrise,Urbanrise On Cloud 33,1400,Kousalya Colony,Hyderabad,48k
81,2,2,1,₹90.0 Lac,Urbanrise,Urbanrise On Cloud 33,685,Bachupally,Hyderabad,31k
82,3,2,2,₹1.30 Cr,Urbanrise,Urbanrise On Cloud 33,1353,Bachupally,Hyderabad,45k
